"","bsr","currency","dim_unit","dim_x","dim_y","dim_z","price","reviews","reviews_count","weight","weight_unit","sales"
"1843",NA,"EUR",NA,NA,NA,NA,13,4.2,NA,NA,NA,NA
"1844",NA,"EUR",NA,NA,NA,NA,0,4.9,NA,NA,NA,NA
"1845",182656,NA,NA,NA,NA,NA,NA,3.8,10,NA,NA,81.5
"1846",NA,"EUR",NA,NA,NA,NA,13,4.3,NA,NA,NA,NA
"1847",224116,"EUR",NA,NA,NA,NA,28.9,4.5,12,NA,NA,122.5
"1848",1454,NA,NA,NA,NA,NA,NA,4.2,91,NA,NA,224.5
"1849",20492,"EUR",NA,NA,NA,NA,23.9,4.3,117,4.3,"von",71.5
"1850",NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA
"1851",154857,"EUR",NA,NA,NA,NA,19.99,NA,NA,159,"g",35
"1852",20713,"EUR",NA,NA,NA,NA,17.9,4.3,69,440,"g",122.5
"1853",22808,NA,NA,NA,NA,NA,NA,5,1,NA,NA,122.5
"1854",NA,"EUR",NA,NA,NA,NA,18.99,4.8,34,NA,NA,NA
"1855",NA,"EUR",NA,NA,NA,NA,19.99,NA,4,NA,NA,NA
"1856",234877,"EUR",NA,NA,NA,NA,27.9,NA,4,NA,NA,122.5
"1857",NA,"EUR",NA,NA,NA,NA,24.95,NA,NA,NA,NA,NA
"1858",NA,"EUR",NA,NA,NA,NA,3.99,NA,NA,NA,NA,NA
"1859",34214,"EUR",NA,NA,NA,NA,15.95,4.8,27,NA,NA,122.5
"1860",NA,"EUR",NA,NA,NA,NA,21.97,4.7,1.369,NA,NA,NA
"1861",NA,"EUR",NA,NA,NA,NA,11.99,3.9,54,NA,NA,NA
"1862",10264,NA,NA,NA,NA,NA,NA,4.5,149,558,"g",35
"1863",2,NA,NA,NA,NA,NA,NA,5,1,NA,NA,2430
"1864",14343,"EUR",NA,NA,NA,NA,10.99,2.7,13,NA,NA,22.5
"1865",NA,"EUR",NA,NA,NA,NA,25.7,4.3,32,NA,NA,NA
"1866",263,"EUR",NA,NA,NA,NA,11.99,3.9,54,NA,NA,885
"1867",194631,"EUR",NA,NA,NA,NA,12.99,5,10,NA,NA,122.5
"1868",10743,"EUR",NA,NA,NA,NA,10.99,4.1,11,NA,NA,122.5
"1869",2366,"EUR",NA,NA,NA,NA,13.95,4.9,242,NA,NA,367.5
"1870",1057,"EUR",NA,NA,NA,NA,29.99,4.7,146,4.7,"von",132.5
"1871",11047,"EUR",NA,NA,NA,NA,18.99,4.7,NA,4.7,"von",43.5
"1872",77830,"EUR",NA,NA,NA,NA,12.25,4.8,6,4.8,"von",43.5
"1873",41388,"EUR",NA,NA,NA,NA,11.99,NA,NA,NA,NA,43.5
"1874",24721,"EUR",NA,NA,NA,NA,13.3,4.2,8,NA,NA,22.5
"1875",2737,"EUR",NA,NA,NA,NA,7.95,4.6,64,99.8,"g",198.5
"1876",NA,"EUR",NA,NA,NA,NA,6.99,NA,NA,NA,NA,NA
"1877",NA,"EUR",NA,NA,NA,NA,12.99,NA,NA,NA,NA,NA
"1878",164694,"EUR",NA,NA,NA,NA,6.99,4.5,NA,NA,NA,81.5
"1879",NA,"EUR",NA,NA,NA,NA,18,NA,NA,NA,NA,NA
"1880",416302,"EUR",NA,NA,NA,NA,3.99,NA,NA,NA,NA,59
"1881",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1882",NA,"EUR",NA,NA,NA,NA,6.99,NA,NA,NA,NA,NA
"1883",39975,NA,NA,NA,NA,NA,NA,4.3,8,NA,NA,71.5
"1884",NA,"EUR",NA,NA,NA,NA,37.95,NA,NA,NA,NA,NA
"1885",NA,"EUR",NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA
"1886",40265,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5
"1887",NA,"EUR",NA,NA,NA,NA,23.99,NA,NA,NA,NA,NA
"1888",NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA
"1889",NA,"EUR",NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"1890",22232,NA,NA,NA,NA,NA,NA,4.4,15,NA,NA,81.5
"1891",30366,NA,NA,NA,NA,NA,NA,4.8,9,NA,NA,40.5
"1892",NA,"EUR",NA,NA,NA,NA,15.95,4.8,NA,NA,NA,NA
"1893",NA,"EUR",NA,NA,NA,NA,13.21,4.9,NA,NA,NA,NA
"1894",3291,NA,NA,NA,NA,NA,NA,4.8,8,NA,NA,90.5
"1895",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1896",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1897",NA,"EUR",NA,NA,NA,NA,19.99,4.9,NA,NA,NA,NA
"1898",NA,"EUR",NA,NA,NA,NA,18.9,4.5,50,NA,NA,NA
"1899",171255,"EUR",NA,NA,NA,NA,26.29,4.2,NA,381,"g",122.5
"1900",NA,"EUR",NA,NA,NA,NA,20.9,4.6,NA,NA,NA,NA
"1901",3318,"EUR",NA,NA,NA,NA,39.99,3.9,191,3.9,"von",193.5
"1902",2020,"EUR",NA,NA,NA,NA,16.59,4.4,69,499,"g",367.5
"1903",8422,"EUR",NA,NA,NA,NA,14.99,4.3,NA,481,"g",122.5
"1904",78693,"EUR",NA,NA,NA,NA,23.95,3.7,26,NA,NA,122.5
"1905",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1906",NA,"EUR",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"1907",NA,"EUR",NA,NA,NA,NA,23.9,NA,10,NA,NA,NA
"1908",NA,"EUR",NA,NA,NA,NA,15.95,4.8,NA,NA,NA,NA
"1909",1729486,"EUR",NA,NA,NA,NA,18.39,NA,NA,200,"g",122.5
"1910",761706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5
"1911",8517,"EUR",NA,NA,NA,NA,15.9,4.5,12,259,"g",122.5
"1912",79417,"EUR",NA,NA,NA,NA,20.04,4.6,NA,NA,NA,122.5
"1913",20,"EUR",NA,NA,NA,NA,NA,4.4,163,NA,NA,2430
"1914",31,"EUR",NA,NA,NA,NA,NA,4.7,226,NA,NA,1410
"1915",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1916",NA,"EUR",NA,NA,NA,NA,9.99,4.9,NA,NA,NA,NA
"1917",859385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"1918",937960,"EUR",NA,NA,NA,NA,29,NA,1,NA,NA,35
"1919",1322264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"1920",NA,"EUR",NA,NA,NA,NA,9.99,NA,NA,NA,NA,NA
"1921",10958,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,122.5
"1922",NA,"EUR",NA,NA,NA,NA,23.9,NA,10,NA,NA,NA
"1923",NA,"EUR",NA,NA,NA,NA,18.39,NA,NA,NA,NA,NA
"1924",NA,"EUR",NA,NA,NA,NA,14.95,4.6,5,NA,NA,NA
"1925",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA
"1926",6589,"EUR",NA,NA,NA,NA,25.99,4.4,134,621,"g",145
"1927",NA,"EUR",NA,NA,NA,NA,29.99,4.6,50,NA,NA,NA
"1928",NA,"EUR",NA,NA,NA,NA,17.49,NA,37,NA,NA,NA
"1929",NA,"EUR",NA,NA,NA,NA,18.99,4.8,34,NA,NA,NA
"1930",NA,"EUR",NA,NA,NA,NA,9.99,NA,NA,NA,NA,NA
"1931",527,"EUR",NA,NA,NA,NA,9.99,4.4,191,NA,NA,564
"1932",NA,"EUR",NA,NA,NA,NA,11.39,4.5,NA,NA,NA,NA
"1933",1301,"EUR",NA,NA,NA,NA,7.98,4.6,83,4.6,"von",416
"1934",6967,"EUR",NA,NA,NA,NA,25.95,4.4,NA,NA,NA,145
"1935",NA,"EUR",NA,NA,NA,NA,14.97,NA,14,NA,NA,NA
"1936",NA,"EUR",NA,NA,NA,NA,15.95,NA,NA,NA,NA,NA
"1937",2158,"EUR",NA,NA,NA,NA,15.9,4.9,29,NA,NA,339.5
"1938",13583,"EUR",NA,NA,NA,NA,12.99,4.4,30,NA,NA,71.5
"1939",7605,"EUR",NA,NA,NA,NA,29.99,NA,NA,NA,NA,122.5
"1940",NA,"EUR",NA,NA,NA,NA,17.97,4.2,219,NA,NA,NA
"1941",NA,"EUR",NA,NA,NA,NA,23.9,NA,10,NA,NA,NA
"1942",NA,"EUR",NA,NA,NA,NA,47.88,NA,NA,NA,NA,NA
"1943",NA,"EUR",NA,NA,NA,NA,33.99,NA,NA,NA,NA,NA
"1944",NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA
"1945",35947,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,40.5
"1946",NA,"EUR",NA,NA,NA,NA,13.99,NA,8,NA,NA,NA
"1947",31904,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,40.5
"1948",NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA
"1949",1577,"EUR",NA,NA,NA,NA,8.97,4.6,77,NA,NA,339.5
"1950",NA,"EUR",NA,NA,NA,NA,19,NA,NA,NA,NA,NA
"1951",1508,"EUR",NA,NA,NA,NA,8.94,4.6,11,NA,NA,155
"1952",83739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
"1953",24230,"EUR",NA,NA,NA,NA,29.99,4.8,16,NA,NA,71.5
"1954",7848,"EUR",NA,NA,NA,NA,23.9,4.2,9,4.2,"von",40.5
"1955",NA,"EUR",NA,NA,NA,NA,19,NA,NA,NA,NA,NA
"1956",9535,"EUR",NA,NA,NA,NA,13.49,4.6,NA,4.6,"von",40.5
"1957",NA,"EUR",NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA
"1958",13694,"EUR",NA,NA,NA,NA,6.29,3.5,14,3.5,"von",40.5
"1959",NA,"EUR",NA,NA,NA,NA,19.99,NA,NA,NA,NA,NA
"1960",43886,"EUR",NA,NA,NA,NA,17.99,4.3,8,4.3,"von",40.5
"1961",7413,"EUR",NA,NA,NA,NA,NA,4.7,8,NA,NA,229
"1962",11350,"EUR",NA,NA,NA,NA,9.99,4.4,27,NA,NA,71.5
"1963",NA,"EUR",NA,NA,NA,NA,9.99,NA,19,NA,NA,NA
"1964",NA,"EUR",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"1965",NA,"EUR",NA,NA,NA,NA,24.95,NA,NA,NA,NA,NA
"1966",1463,"EUR",NA,NA,NA,NA,5.95,NA,NA,99.8,"g",275
"1967",NA,"EUR",NA,NA,NA,NA,22.99,4.4,57,NA,NA,NA
"1968",76212,"EUR",NA,NA,NA,NA,12.9,NA,NA,NA,NA,40.5
"1969",11774,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,122.5
"1970",NA,"EUR",NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA
"1971",277931,"EUR",NA,NA,NA,NA,19.8,NA,NA,NA,NA,122.5
"1972",7578,"EUR",NA,NA,NA,NA,19.8,NA,14,NA,NA,71.5
"1973",32118,"EUR",NA,NA,NA,NA,14.5,NA,1,5,"von",40.5
"1974",NA,"EUR",NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA
"1975",93468,"EUR",NA,NA,NA,NA,12.9,NA,10,NA,NA,122.5
"1976",NA,"EUR",NA,NA,NA,NA,33.99,NA,NA,NA,NA,NA
"1977",11011,"EUR",NA,NA,NA,NA,23.9,3.8,4,3.8,"von",40.5
"1978",NA,"EUR",NA,NA,NA,NA,14.95,4.7,NA,NA,NA,NA
"1979",NA,"EUR",NA,NA,NA,NA,18.99,4.8,34,NA,NA,NA
"1980",NA,"EUR",NA,NA,NA,NA,19.99,4.7,14,NA,NA,NA
"1981",NA,"EUR",NA,NA,NA,NA,20.59,4.8,23,NA,NA,NA
"1982",NA,"EUR",NA,NA,NA,NA,14.23,4.6,NA,NA,NA,NA
"1983",875,"EUR",NA,NA,NA,NA,34.49,4.6,441,NA,NA,360.5
"1984",NA,"EUR",NA,NA,NA,NA,20.9,4.6,55,NA,NA,NA
"1985",NA,"EUR",NA,NA,NA,NA,13.95,4.9,242,NA,NA,NA
"1986",NA,"EUR",NA,NA,NA,NA,7.98,4.6,83,NA,NA,NA
"1987",15463,NA,NA,NA,NA,NA,NA,4.6,NA,522,"g",35
"1988",NA,"EUR",NA,NA,NA,NA,9.92,NA,468,NA,NA,NA
"1989",NA,"EUR",NA,NA,NA,NA,23.9,4.3,117,NA,NA,NA
"1990",NA,"EUR",NA,NA,NA,NA,11.31,4.1,NA,NA,NA,NA
"1991",2542,"EUR",NA,NA,NA,NA,9.49,4.2,NA,4.2,"von",339.5
"1992",7667,"EUR",NA,NA,NA,NA,7.95,4,32,4,"von",71.5
"1993",NA,"EUR",NA,NA,NA,NA,12.99,4.4,30,NA,NA,NA
